id_Articulo,id_Almacen,id_Entrada,id_Proveedor,id_Time,NumDeEntradas,CantidadArticulos
4648,7,407,88,20140124,0,8
4655,7,407,88,20140124,0,4
4656,7,407,88,20140124,0,4
4074,7,409,109,20090710,1,1
4603,7,410,109,20110407,1,2
4364,7,411,88,20101205,0,2
4533,7,411,88,20101205,0,10
4365,7,411,88,20101205,0,2
4368,7,411,88,20101205,0,2
4534,7,411,88,20101205,0,10
4236,7,412,88,20110715,0,6
4237,7,412,88,20110715,0,4
4195,7,412,88,20110715,0,6
4153,7,413,88,20100301,1,1
4195,7,414,109,20121010,1,30
4511,7,415,88,20160518,0,3
4310,7,415,88,20160518,0,3
4414,7,415,88,20160518,0,3
4382,7,415,88,20160518,0,1
4367,7,415,88,20160518,0,2
3930,7,415,88,20160518,0,2
4506,7,415,88,20160518,0,6
4074,7,415,88,20160518,0,6
4146,7,415,88,20160518,0,2
4415,7,415,88,20160518,0,4
4366,7,415,88,20160518,0,10
4194,7,416,88,20180107,1,6
4195,7,416,88,20180107,1,6
4368,7,471,88,20170315,0,6
4243,7,472,88,20101028,0,4
4238,7,472,88,20101028,0,10
4196,7,472,88,20101028,0,10
4417,7,473,88,20130411,0,3
4524,7,473,88,20130411,0,10
4526,7,473,88,20130411,0,10
4528,7,473,88,20130411,0,6
4529,7,473,88,20130411,0,6
4494,7,473,88,20130411,0,3
4412,7,473,88,20130411,0,3
4369,7,475,109,20170827,1,1
4530,7,476,88,20190130,0,2
4361,7,476,88,20190130,0,15
4369,7,476,88,20190130,0,10
4563,7,478,109,20101229,1,1
4563,7,479,95,20090901,1,48
4361,7,491,88,20091012,0,15
4364,7,491,88,20091012,0,2
3930,7,491,88,20091012,0,2
4262,7,491,88,20091012,0,2
4274,7,491,88,20091012,0,2
4482,7,491,88,20091012,0,2
4488,7,491,88,20091012,0,2
4315,7,491,88,20091012,0,10
4147,7,491,88,20091012,0,10
4416,7,491,88,20091012,0,10
4118,7,491,88,20091012,0,10
4384,7,491,88,20091012,0,10
3931,7,491,88,20091012,0,2
4236,7,492,88,20111221,1,6
4599,7,493,92,20150520,0,48
4600,7,493,92,20150520,0,36
